uid,profile,anime_uid,rating,scores
33404,Yakarin,7588,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
73395,Paulwillson26,7588,9,"{'Overall': '9', 'Story': '8', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
179169,Eneko-chan,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
79196,Lima-Sama,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '9', 'Character': '10', 'Enjoyment': '9'}"
27987,Algirdyz,7588,7,"{'Overall': '7', 'Story': '9', 'Animation': '8', 'Sound': '9', 'Character': '7', 'Enjoyment': '8'}"
109903,Baconzombie,7588,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '8'}"
31602,skankfish,7588,8,"{'Overall': '8', 'Story': '8', 'Animation': '9', 'Sound': '9', 'Character': '7', 'Enjoyment': '9'}"
194830,AlexJetski,7588,8,"{'Overall': '8', 'Story': '7', 'Animation': '9', 'Sound': '7', 'Character': '8', 'Enjoyment': '8'}"
56359,steampunkvillain,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '7', 'Character': '10', 'Enjoyment': '10'}"
27875,IceAndCream,7588,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
26665,BienAgiter,7588,5,"{'Overall': '5', 'Story': '4', 'Animation': '8', 'Sound': '5', 'Character': '4', 'Enjoyment': '4'}"
27448,bleeb,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
27976,Seabury,7588,8,"{'Overall': '8', 'Story': '9', 'Animation': '9', 'Sound': '7', 'Character': '10', 'Enjoyment': '7'}"
38440,Jolon,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '8', 'Sound': '7', 'Character': '10', 'Enjoyment': '9'}"
240724,Fleure,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '8', 'Character': '10', 'Enjoyment': '10'}"
119137,Jodyqt,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '7', 'Character': '10', 'Enjoyment': '9'}"
28745,Lindle,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
181077,ZephSilver,7588,8,"{'Overall': '8', 'Story': '7', 'Animation': '8', 'Sound': '6', 'Character': '7', 'Enjoyment': '8'}"
27501,Mimi_Taylor,7588,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
27850,Detective,7588,8,"{'Overall': '8', 'Story': '8', 'Animation': '9', 'Sound': '10', 'Character': '9', 'Enjoyment': '8'}"
180408,sillikorae,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
62909,InsaneMooseCat,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
219434,theillusionary,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '8', 'Sound': '8', 'Character': '10', 'Enjoyment': '10'}"
102547,Jakerams,4181,4,"{'Overall': '4', 'Story': '2', 'Animation': '8', 'Sound': '8', 'Character': '6', 'Enjoyment': '1'}"
